ldk;codigoperiodo;codigoine;dscautarquia;despesatotal;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital
A_0305;A;0305;CELORICO DE BASTO;13278221.24;10008328.04;4666070.6;4025419.8;516675.38;800162.26;111191.17;57184.8;0;284713.82;719673.62;2097129.79
A_1407;A;1407;CHAMUSCA;8475077.95;6128296.7;3100977.85;2139049.69;82706.11;805563.05;1980;55895.11;199959.7;552406.36;160983.59;1375556.49
A_1703;A;1703;CHAVES;51861254.42;32288867.31;9150227.19;19505143.96;1813530.37;1819965.79;1772.17;3768865.49;507662.31;3281864.5;7201965.02;4810257.62
A_1804;A;1804;CINFÃES;14296406.76;10127399.57;3831693.82;4151686.15;18999.37;2125020.23;85803.6;510629.81;387959.07;1139916.47;931535.35;1113162.89
A_0603;A;0603;COIMBRA;71173340.97;59937750.13;26111048.55;19851751.73;881409.39;13093540.46;889907.36;1482805.63;126802.06;1189706.48;2121439.87;5424929.44
A_0604;A;0604;CONDEIXA-A-NOVA;10963943.92;8294068.4;3463391.73;4102373.89;43984.17;684318.61;0;68995.94;210094.24;350351.35;915946.7;1124487.29
A_1408;A;1408;CONSTÂNCIA;5207011.27;4141682.65;2110977.82;1650109.77;61468.72;319126.34;21930.41;181306.46;31361.37;15271.9;67426.23;748032.25
A_1409;A;1409;CORUCHE;16421681.14;11135215.62;5764203.32;3736447.9;69027.71;1565536.69;105171.44;370950.1;20594.31;1914943.28;2084178.07;790628.32
A_4901;A;4901;CORVO;1776445.49;836556.53;493275.5;325368.17;6199.11;11713.75;32167.34;1180;102427.41;8971.24;665523.33;129619.64
A_0503;A;0503;COVILHÃ;24452404.28;14216571.41;5923417.16;5536328.09;557801.92;2199024.24;495275.6;712221.49;73109.86;2070541.24;1351949.91;5532734.77
A_1206;A;1206;CRATO;7005750.76;5124600.18;2259843.54;2309470.33;44286.74;510999.57;13225.13;138840.25;175273.47;212686.2;397256.48;943869.05
A_0207;A;0207;CUBA;4952975.45;3888611.7;2085792.89;1244311.7;23584.05;534923.06;475;12850.53;175978.07;173033.39;101461.93;600564.83
A_1207;A;1207;ELVAS;22829546.87;18828305.32;4743448.49;7612713.76;10372.41;6461770.66;558364.8;499271.15;12640.53;1676592.49;1013392.77;240979.81
A_1410;A;1410;ENTRONCAMENTO;15698662.63;10481882.16;5176435.04;4572739.14;276529.91;456178.07;12712.3;2083944.14;36721.61;90911.26;1930563.76;1061927.4
A_0107;A;0107;ESPINHO;30889936.54;19199169.23;9216737.15;7904394.85;378915.72;1699121.51;55902.31;4078232.81;212051.7;616104.5;3208384.97;3520091.02
