ldk;codigoperiodo;codigoine;dscautarquia;despesatotal;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;investimentosoutrosinvestimentosbensdecapital;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital
T1_0703;T1;0703;BORBA;2063841,67;1136381,8;724823,46;296084,37;44941,04;70532,93;735162,64;28000;654440,13;13307,44;4658,09;34756,98;192297,23
T1_1702;T1;1702;BOTICAS;1395628,29;987184,04;527285,79;382855,67;12590,55;64452,03;152620,4;5704,2;0;13280,09;6210,06;127426,05;255823,85
T1_0303;T1;0303;BRAGA;21241807,42;15210275,33;6072459,93;3737974,47;241572,14;5158268,79;2475910,8;0;1050983,2;0;498932,31;925995,29;3555621,29
T1_0402;T1;0402;BRAGANÇA;7761505,32;4026568,77;1569022,72;2144773,47;47409,73;265362,85;2239293,04;30501,79;1777057,14;90238,06;23817,52;317678,53;1495643,51
T1_0304;T1;0304;CABECEIRAS DE BASTO;3114570,79;1765595,42;1105912,6;359001,94;33839,94;266840,94;781996,85;244886,26;83776,97;76220,57;293196,79;83916,26;566978,52
T1_1104;T1;1104;CADAVAL;2007020,01;1802212,76;849277,34;827477,15;15367,04;110091,23;146491,89;0;14938,1;10983,33;102298,15;18272,31;58315,36
T1_1006;T1;1006;CALDAS DA RAINHA;4071302,07;2897191,78;1145328,54;1271816,34;19878,63;460168,27;850727,84;40000;14667,56;0;609028,36;187031,92;323382,45
T1_3101;T1;3101;CALHETA (MADEIRA);5057632,47;1937708;493679,59;677005,42;659618,09;107404,9;2881550,89;0;1878,67;18615,55;2765172,76;95883,91;238373,58
T1_4501;T1;4501;CALHETA (SÃO JORGE);943877,5;600209,75;417586,62;130091,03;42869,99;9662,11;115239,97;0;0;16323,58;45346,23;53570,16;228427,78
T1_3102;T1;3102;CÂMARA DE LOBOS;6090345,91;2938271,47;815582,21;1896344,91;24366,23;201978,12;2883936,9;18030,8;0;123016,76;2670771,77;72117,57;268137,54
T1_1602;T1;1602;CAMINHA;3557506,47;2682536,63;1102790,55;1371512,14;91876,27;116357,67;683675,7;0;217641,01;89748,08;268614,5;107672,11;191294,14
T1_1204;T1;1204;CAMPO MAIOR;1537823,67;1412142,71;778408,65;408426,93;27825,95;197481,18;101367,47;5444,44;8672,24;3077,56;26309,88;57863,35;24313,49
T1_0602;T1;0602;CANTANHEDE;3186738,28;2077970,78;1086127,76;668120,92;90990,16;232731,94;660909,58;182501,41;199886,48;1005,04;151038,84;126477,81;447857,92
T1_0403;T1;0403;CARRAZEDA DE ANSIÃES;1232263,1;898035,99;568374,12;195399,97;9012,03;125249,87;123046,23;0;122292,66;0;0;753,57;211180,88
T1_1802;T1;1802;CARREGAL DO SAL;1423570,86;1073053,13;466034,15;423257,07;11235,48;172526,43;195057,41;17500;5603,34;1275,01;164941,28;5737,78;155460,32
T1_1406;T1;1406;CARTAXO;2072291,52;1758424,33;1325672,14;279460,54;35272,96;118018,69;115626,1;0;3241,53;0;0;112384,57;198241,09
T1_1105;T1;1105;CASCAIS;26439249,66;22363924,22;7359047,65;8847564,15;83652,92;6073659,5;2816516,83;10445;904625,89;0;867156,16;1034289,78;1258808,61
T1_1007;T1;1007;CASTANHEIRA DE PÊRA;623323,82;570764,53;327611,66;140216,34;50391,01;52545,52;21492,83;0;14488,32;0;3275,49;3729,02;31066,46
T1_0502;T1;0502;CASTELO BRANCO;8466099,07;3618379,46;1591782,17;1148540,76;1958,01;876098,52;3958556;740809,07;1375681,31;94761,4;1045355,18;701949,04;889163,61
T1_0106;T1;0106;CASTELO DE PAIVA;1808804,64;1711156,37;702167,69;705986,11;73696,29;229306,28;94629,58;259,46;870,54;11146,3;22160,08;60193,2;3018,69
T1_1205;T1;1205;CASTELO DE VIDE;1170078,51;967354,51;550286,8;348091,06;0;68976,65;182259,27;0;3770;50643,3;25045,66;102800,31;20464,73
T1_1803;T1;1803;CASTRO DAIRE;2733665,23;2241191,12;1021954,71;969153,14;26276,79;223806,48;308144,5;22591,65;8165,66;25533,89;212872,41;38980,89;184329,61
