ldk;codigoperiodo;codigoine;dscautarquia;receitastotais;transferenciasorcamentoestado;financiamentouniaoeuropeia;impostosmunicipais;imi;imt;iuc;derramairc;taxasmultasoutrosimpostos;vendabensservicos;outrasreceitas
T4_1115;T4;1115;AMADORA;77341785.86;18658530;316620.35;31441092.13;19598953.52;4223828.9;3286605.49;1990585.43;2341118.79;11482757.8;15442785.58
T4_1301;T4;1301;AMARANTE;30769998.4;13383626;4071620.08;6719867.85;3746758.34;655868.98;1077641.27;0;1239599.26;4944631.53;1650252.94
T4_0301;T4;0301;AMARES;11783264.1;5179192;733560.46;2467791.62;1604457.33;276322.22;409150.1;0;177861.97;1728257.57;1674462.45
T4_0103;T4;0103;ANADIA;21815001.48;7809037;4589415.46;3926785.71;2593374.77;341664.26;680370.81;161062.93;150312.94;4094182.36;1395580.95
T4_4301;T4;4301;ANGRA DO HEROÍSMO;17296174.31;9537283;1642719.83;3752412.3;2322611.64;251110.93;676590.08;0;502099.65;1059868.89;1303890.29
T4_1003;T4;1003;ANSIÃO;9863722.03;4763334;380270.5;2468989.11;1362687.45;236906.13;252629.36;133474.39;483291.78;1739539.73;511588.69
T4_1601;T4;1601;ARCOS DE VALDEVEZ;21577001.45;10078548;1667632.51;2934862.31;1911863.2;268530.22;470404.68;0;284064.21;3826356.48;3069602.15
T4_0601;T4;0601;ARGANIL;10964936.61;5845512;256505.34;2093180.2;1359250.1;123577.92;219775.74;0;390576.44;2378834.84;390904.23
T4_1801;T4;1801;ARMAMAR;10312994.5;4570235.31;1469434.88;1258694.96;671466.54;94971.56;106254.62;121970.07;264032.17;1379958.62;1634670.73
T4_0104;T4;0104;AROUCA;15575284.32;7839442;1237743.61;2514575.82;1443904.61;358853.38;407672.34;169980.78;134164.71;2839072.69;1144450.2
T4_0702;T4;0702;ARRAIOLOS;9992335.58;5808807;1688990.27;982705.73;504338.1;253680.51;122349.34;48947.09;53390.69;1006618.84;505213.74
T4_1202;T4;1202;ARRONCHES;5711708.18;3638924;527682.98;356422.9;180413.75;108523.14;54951.16;0;12534.85;581534.66;607143.64
T4_1102;T4;1102;ARRUDA DOS VINHOS;9775833.04;3283646;0;2731155.07;1623276.21;253230.38;321393.61;249717.97;283536.9;2693221.51;1067810.46
T4_0105;T4;0105;AVEIRO;48062750.9;8000369;1881023.96;22368970.61;12641403.74;2805210.53;1893010.81;2014811.86;3014533.67;6493978.36;9318408.97
T4_1203;T4;1203;AVIS;7307792.36;5038901;590613.21;592251.94;277727.24;150608.08;81266.57;25796.1;56853.95;796340.15;289686.06
T4_1103;T4;1103;AZAMBUJA;14131319.35;4772880;13000.4;6319303.52;2888222.01;984992.92;1627948.21;303495.87;514644.51;1657748.01;1368387.42
T4_1302;T4;1302;BAIÃO;13808204.17;7134745;1014589.73;1818838.58;772914.23;243268.48;317804.2;0;484851.67;1609293.29;2230737.57
T4_0302;T4;0302;BARCELOS;59187086.8;22527352;1886741.48;17349561.36;9044247.86;2752603.07;2583604.35;1247455.51;1721650.57;6418243.01;11005188.95
T4_0204;T4;0204;BARRANCOS;3522046.33;2982425;-5315.39;155434.97;104240.22;9197.6;26011.14;0;15986.01;171758.31;217743.44
T4_1504;T4;1504;BARREIRO;41282037.69;9161499;1696770.94;20247113.09;10391411.93;2367919.27;1530047.02;460456.89;5497277.98;9189302.97;987351.69
T4_1004;T4;1004;BATALHA;9814495.82;3738627;638622.08;3737191.45;2007101.94;277684.73;434634.78;340014.88;677755.12;912301.94;787753.35
T4_0205;T4;0205;BEJA;22252224.88;10034442;452397.32;6740956.52;3503057.81;1656425.41;748490.29;492130.09;340852.92;3872150.83;1152278.21
T4_0501;T4;0501;BELMONTE;5350119.67;3645427.02;92684.02;749891.17;529964.14;61387.61;122977.1;0;35562.32;735505.05;126612.41
T4_1405;T4;1405;BENAVENTE;16682615.43;4116477;981916.04;7738547.34;5014213.81;1483379.44;615530.98;387846.34;237576.77;2395973.4;1449701.65
T4_1005;T4;1005;BOMBARRAL;9482390.31;3446991;379044.46;2746013.77;1637344.18;376321.59;285121.65;36672.53;410553.82;2122399.64;787941.44
T4_0703;T4;0703;BORBA;7245077.05;3412742;349412.37;1082102.31;709594.53;82363.89;129818.17;46869.25;113456.47;1348010.29;1052810.08
T4_1702;T4;1702;BOTICAS;9107578.9;5225817.64;1075223.42;822617.33;463893.34;62315.61;112031.54;0;184376.84;1390790.64;593129.87
T4_0303;T4;0303;BRAGA;86282035.08;20149462;5731398.39;37091263.64;21502723.28;5121598.17;4300410.83;3502428.99;2664102.37;4153622.29;19156288.76
T4_0402;T4;0402;BRAGANÇA;30203893.92;13158586;958031.13;6986622.44;4494401.41;352790.58;766426.5;0;1373003.95;7918361.28;1182293.07
T4_0304;T4;0304;CABECEIRAS DE BASTO;12931300.16;6368596;906815.66;2268697.73;1076499.66;236790.85;313093.51;58191.17;584122.54;1249567.98;2137622.79
T4_1104;T4;1104;CADAVAL;9580723;4406679;546813.17;2192522.94;1511093.53;241714.24;291536;0;148179.17;2036375.7;398332.19
T4_1006;T4;1006;CALDAS DA RAINHA;25792734.03;6033444;3578928.66;10181906.86;6307217.39;1776345.41;1208144.25;216666.16;673533.65;2395373.3;3603081.21
T4_3101;T4;3101;CALHETA (MADEIRA);10535260.42;5941453;903196.46;1689816.25;986771.46;281020.57;231067.33;0;190956.89;1197448.18;803346.53
T4_4501;T4;4501;CALHETA (SÃO JORGE);4751018.69;3164979.88;622352.93;541558.08;395920.23;39609.75;66351.37;20805.89;18870.84;406272.49;15855.31
T4_3102;T4;3102;CÂMARA DE LOBOS;16291602.29;7075197;4114814.18;3250032.49;2116569.91;250910.77;487371.36;0;395180.45;562918.8;1288639.82
T4_1602;T4;1602;CAMINHA;14869609.82;5684185.97;103418.81;4417425.1;2849556.35;728754.6;406929.7;22666.7;409517.75;4015174.64;649405.3
T4_1204;T4;1204;CAMPO MAIOR;12712158.88;4098885;4896148.96;1411057.48;595958.57;173983.88;198568.7;0;442546.33;1635321.2;670746.24
T4_0602;T4;0602;CANTANHEDE;19998239.37;8549391;913111.26;7692848.87;5140772.98;698944.77;804530.95;663241.68;385358.49;1965826.47;877061.77
T4_0403;T4;0403;CARRAZEDA DE ANSIÃES;8180692.54;5571041;787003.99;700406.84;400584.29;138249.01;102973.73;0;58599.81;823792.24;298448.47
T4_1802;T4;1802;CARREGAL DO SAL;6251027.78;3720756;112965.68;1522989.96;738083.4;155593.67;202654.44;0;426658.45;441424.93;452891.21
T4_1406;T4;1406;CARTAXO;25193132.86;4620419;1104400.13;4401719.32;2888136.17;517601.25;517707.49;307378.14;170896.27;2781922.85;12284671.56
T4_1105;T4;1105;CASCAIS;143336743.36;13044485;279082.06;108487345.5;49016545.08;32250393.28;6121291.59;2387455.19;18711660.36;7308916.91;14216913.89
T4_1007;T4;1007;CASTANHEIRA DE PÊRA;4372517.3;2828108;47281.8;750078.98;408101.56;67946.88;58881.17;9639.78;205509.59;551791.72;195256.8
T4_0502;T4;0502;CASTELO BRANCO;35173075.89;15273557;2028981.47;9030970.35;6179814.28;1131913.17;1154961.43;0;564281.47;4852448;3987119.07
T4_0106;T4;0106;CASTELO DE PAIVA;9118360.32;5254819.23;133798.15;1448606.72;804387.92;98826.29;268438.99;0;276953.52;1252234.03;1028902.19
T4_1205;T4;1205;CASTELO DE VIDE;6183461.1;3652486;946054.41;483363.51;328952.42;28941.15;61415.72;26334.81;37719.41;749646.03;351911.15
T4_1803;T4;1803;CASTRO DAIRE;14515207.78;7387464;1128195.34;1887641.44;1192281.96;119078.5;290038.21;0;286242.77;1882896.2;2229010.8
T4_0804;T4;0804;CASTRO MARIM;12041712.49;3175742.82;1749626.86;3615197.38;2732394.09;598083.23;142697.73;0;142022.33;3018586.27;482559.16
T4_0206;T4;0206;CASTRO VERDE;9548331.64;5285043;494737.29;1909448.57;516537.11;102987.23;154801;1035941.8;99181.43;1357752.16;501350.62
T4_0903;T4;0903;CELORICO DA BEIRA;9157457.57;5191188;885978.85;1772770.77;923935.76;74783.3;145889.07;114777.08;513385.56;759686.09;547833.86
T4_0305;T4;0305;CELORICO DE BASTO;13275989.91;7032687.4;950001.5;1983317.59;1180603.31;254468.97;325055.8;0;223189.51;2247230.59;1062752.83
T4_1407;T4;1407;CHAMUSCA;9464299.09;6552290;222222.73;1319788.21;758635.59;242711.62;182170.19;116899.69;19371.12;687273.11;682725.04
T4_1703;T4;1703;CHAVES;51320016.99;12564895;10098577.17;5498250.51;3556186.27;465225.88;892871.15;38631.67;545335.54;6976173.41;16182120.9
T4_1804;T4;1804;CINFÃES;14105830.55;7375443.51;984017.76;1624616.95;942722.23;145484.18;308824.45;0;227586.09;351104.71;3770647.62
