ldk;codigoperiodo;codigoine;dscautarquia;despesatotal;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;investimentosoutrosinvestimentosbensdecapital;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital
T1_0709;T1;0709;PORTEL;1855846.93;1551466.2;811525.45;542581.37;18811.6;178547.78;173700.54;0;87670.73;7195.66;2692.42;76141.73;130680.19
T1_0811;T1;0811;PORTIMÃO;5596603.56;4925085.55;2756082.31;1175094.8;496167.05;497741.39;532030.87;0;424188.84;11196.43;12576.8;84068.8;139487.14
T1_1312;T1;1312;PORTO;26813848.54;24081415.13;12292333.59;8312925.65;607725.26;2868430.63;653113.31;97455;264051.47;0;118182.16;173424.68;2079320.1
T1_1016;T1;1016;PORTO DE MÓS;2898832.02;2259625.47;1046804.18;1098928.28;19763.95;94129.06;552785.17;0;183311.9;105926.33;72165.23;191381.71;86421.38
T1_3106;T1;3106;PORTO MONIZ;951172.85;532843;241580.26;176787.89;40069.6;74405.25;202126.78;2000;2940.65;97316.71;19300.17;80569.25;216203.07
T1_3201;T1;3201;PORTO SANTO;822507.35;762050.84;307651.82;268539.01;4909.17;180950.84;13650.12;0;0;0;0;13650.12;46806.39
T1_0309;T1;0309;PÓVOA DE LANHOSO;3582769.19;2124508.42;849092.67;902700.51;28357.04;344358.2;1195759.93;36740;581136.83;234085.99;261528.09;82269.02;262500.84
T1_1313;T1;1313;PÓVOA DE VARZIM;8289031.37;6412566.07;2747162.04;3125546.11;79326.9;460531.02;1418719.84;438339.18;178141.47;213548.68;187248.28;401442.23;457745.46
T1_4204;T1;4204;POVOAÇÃO;1263556.11;756960.97;617395.37;75231.61;38952.03;25381.96;156904.89;3078;2758.68;29018.19;0;122050.02;349690.25
T1_4302;T1;4302;PRAIA DA VITÓRIA;2060644.37;1127722.02;717982.19;153925.02;55191.48;200623.33;278602.2;15000;0;0;80728.89;182873.31;654320.15
T1_0508;T1;0508;PROENÇA-A-NOVA;2032004.88;1484617.29;594619.35;699904.61;25289.34;164803.99;396857.55;7662.5;15705.26;692.74;123182.26;249614.79;150530.04
T1_0710;T1;0710;REDONDO;2061211.11;1471504.48;884114;460706.94;8028.32;118655.22;563136.31;255778.14;8176.3;129160.54;136108.3;33913.03;26570.32
T1_0711;T1;0711;REGUENGOS DE MONSARAZ;2355620.32;1915997.83;954323.62;633020.81;93035.19;235618.21;249474.96;12500;31363.19;33563.94;116149.79;55898.04;190147.53
T1_1813;T1;1813;RESENDE;2582545.49;1887225.83;931115.5;771585.63;40395.89;144128.81;584769.11;5000;313027.32;18175.77;205199.13;43366.89;110550.55
T1_3107;T1;3107;RIBEIRA BRAVA;1213404.41;858330.99;321720.45;227675.44;133681.35;175253.75;170981.33;0;4785.7;5928;47236.31;113031.32;184092.09
T1_1709;T1;1709;RIBEIRA DE PENA;2339026.41;1651117.51;687710.76;618230.91;58961.46;286214.38;504987.27;4000;111782.82;82456.31;228321.91;78426.23;182921.63
T1_4205;T1;4205;RIBEIRA GRANDE;4285245.96;1936016.64;1067287.66;611033.02;65384.93;192311.03;1591196.77;34993.82;359943.38;512009.21;487040.03;197210.33;758032.55
T1_1414;T1;1414;RIO MAIOR;3902763.01;2375082.63;1176672.11;843587.14;91402.73;263420.65;531873.68;5345.1;172345.99;0;277340.39;76842.2;995806.7
T1_1710;T1;1710;SABROSA;1700345.11;1059729.71;544213.14;429497.72;21309;64709.85;504074.95;27148.05;71529.06;10574.85;49904.5;344918.49;136540.45
T1_0911;T1;0911;SABUGAL;2726767.46;1954959.93;810605.81;726771.58;41533.52;376049.02;679860.62;3044.11;40978.56;310383.44;80658.19;244796.32;91946.91
T1_1415;T1;1415;SALVATERRA DE MAGOS;2325075.23;1649873.33;853083.42;669059.88;14421.98;113308.05;514631.62;0;459261.61;0;7249.08;48120.93;160570.28
T1_1814;T1;1814;SANTA COMBA DÃO;2056805.42;1119556.32;561068.93;299187.69;120917.97;138381.73;442202.17;0;257326.44;1979.26;24067.42;158829.05;495046.93
T1_3108;T1;3108;SANTA CRUZ;3298356.66;2554053.1;1410258.38;997439.11;84963.77;61391.84;365184.06;11200;0;101418.37;148608.41;103957.28;379119.5
T1_4401;T1;4401;SANTA CRUZ DA GRACIOSA;1018600.94;629381.55;252193.85;190364.66;20192.83;166630.21;333784.21;49278.39;87089.53;6687.32;127190.49;63538.48;55435.18
